name,price,category,sizes,stock,image_filename
Dunhill Black Fleece Sweatpant Men,6499,Sweatpant,"S,M,L,XL",8,sp1.jpg
Ralph Lauren Navy Casual Sweatpant Men,7199,Sweatpant,"S,M,L,XL",9,sp2.jpg
Gucci Gray Designer Sweatpant Men,8999,Sweatpant,"S,M,L,XL",7,sp3.jpg
Louis Vuitton Charcoal Premium Sweatpant Men,9999,Sweatpant,"S,M,L,XL",6,sp4.jpg
Vogue Comfortable Black Sweatpant Men,6199,Sweatpant,"S,M,L,XL",10,sp5.jpg
Dunhill Black Premium Trouser Men,6999,Trouser,"S,M,L,XL",8,trouser1.jpg
Ralph Lauren Navy Professional Trouser Men,7999,Trouser,"S,M,L,XL",7,trouser2.jpg
Gucci Gray Luxury Trouser Men,9999,Trouser,"S,M,L,XL",6,trouser3.jpg
Louis Vuitton Charcoal Elegant Trouser Men,10999,Trouser,"S,M,L,XL",5,trouser4.jpg
Vogue Classic Black Formal Trouser Men,6499,Trouser,"S,M,L,XL",9,trouser5.jpg
Dunhill Charcoal Formal Suit Men,12999,Suits,"S,M,L,XL",5,Beach Summer Suit attire.jpg
Ralph Lauren Navy Executive Suit Men,14999,Suits,"S,M,L,XL",4,Curated Looks _ Atelier Saman Amel.jpg
Gucci Black Luxury Suit Men,18999,Suits,"S,M,L,XL",3,download (40).jpg
Louis Vuitton Dark Gray Premium Suit Men,19999,Suits,"S,M,L,XL",3,download (41).jpg
Vogue Classic Gray Formal Suit Men,11999,Suits,"S,M,L,XL",6,download (42).jpg
Philippe Passainle Brown Tailored Suit Men,13999,Suits,"S,M,L,XL",5,download (43).jpg
Serapian Maleno Elegant Black Suit Men,15999,Suits,"S,M,L,XL",4,download (44).jpg
Dunhill Deep Blue Business Suit Men,13499,Suits,"S,M,L,XL",5,ss.jpg
Ralph Lauren Pinstripe Professional Suit Men,15499,Suits,"S,M,L,XL",4,old money summer fashion.jpg
Vogue Comfortable Stretch Suit Men,12499,Suits,"S,M,L,XL",6,Your style guide_ Elegant 3 piece suits for men.jpg
