name,price,category,sizes,stock,image_filename
Louis Vuitton Black Avenue Slingbag Men,24999,Handbags,"S,M,L,XL",7,Avenue Slingbag Luxury Belt - Black _ Grey - Men - Louis Vuitton®.jpg
Gucci Black Cargo Wearable Wallet Men,15999,Handbags,"M,L,XL",6,Cargo wearable wallet.jpg
Prada Brown Leather Messenger Bag Men,29999,Handbags,"XS,S,M,L,XL",8,download (94).jpg
Louis Vuitton LV Avenue Handbag Men,35999,Handbags,"S,M,L",5,Men's LV avenue a.jpg
Hermès Premium Avenue Slingbag Men,19999,Handbags,"M,L,XL,XXL",9,Products by Louis Vuitton_ Avenue Slingbag PM.jpg
Burberry Designer Backpack Men,25999,Bagpacks,"S,M,L,XL",8,15 Key Style Upgrades Every Man Should Make This Fall.jpg
Dior Black Canvas Backpack Men,32999,Bagpacks,"M,L,XL",7,BrandAlley _ Designer Sales - Up to 80% off Designer Clothing, Designer Bags, Homeware and Beauty.jpg
Fendi Premium Leather Backpack Men,27999,Bagpacks,"XS,S,M,L,XL",6,Designer Backpacks _ Men's Bags _ MR PORTER.jpg
Tom Ford Luxury Travel Backpack Men,13999,Bagpacks,"S,M,L",5,download (95).jpg
Givenchy Black Leather Rucksack Men,21999,Bagpacks,"M,L,XL,XXL",9,Giveиc৸y 👝👗👠🛍👜.jpg
