name,price,category,sizes,stock,image_filename
Vogue Classic Black Sweatpants Women,8999,Sweatbottoms,"XS,S,M,L",7,aa.jpg
Balenciaga Luxury Joggers Women,17999,Sweatbottoms,"XS,S,M,L",4,dd.jpg
Prada Premium Track Pants Women,15999,Sweatbottoms,"XS,S,M,L",5,zde.jpg
Chanel Tailored Lounge Pants Women,18999,Sweatbottoms,"XS,S,M,L",3,zx.jpg
ASOS Casual Comfort Bottoms Women,10999,Sweatbottoms,"XS,S,M,L",8,zz.jpg
Vogue Dark Blue Denim Jeans Women,14999,Jeans,"XS,S,M,L",6,download (80).jpg
Balenciaga Luxury Ripped Jeans Women,21999,Jeans,"XS,S,M,L",3,download (81).jpg
Prada Classic Straight Jeans Women,18999,Jeans,"XS,S,M,L",4,download (82).jpg
Chanel Tailored Skinny Jeans Women,20999,Jeans,"XS,S,M,L",4,download (84).jpg
ASOS Trendy Black Jeans Women,12999,Jeans,"XS,S,M,L",7,download (85).jpg
Zara Urban Baggy Jeans Women,13999,Jeans,"XS,S,M,L",6,haahhaha.jpg
H&M Casual Blue Jeans Women,11999,Jeans,"XS,S,M,L",8,hahaha.jpg
Mango Premium Flare Jeans Women,16999,Jeans,"XS,S,M,L",5,ijks.jpeg
Forever 21 Vintage Wash Jeans Women,9999,Jeans,"XS,S,M,L",9,outfit.jpg
TopShop Designer Bootcut Jeans Women,19999,Jeans,"XS,S,M,L",4,Women's Baggy Jeans.jpg
Vogue Green Emerald Dress Women,18999,Dresses,"XS,S,M,L",5,download (71).jpg
Balenciaga Elegant Black Dress Women,22999,Dresses,"XS,S,M,L",3,download (72).jpg
Prada Silk Floral Dress Women,21999,Dresses,"XS,S,M,L",4,download (73).jpg
Chanel Classic Red Dress Women,24999,Dresses,"XS,S,M,L",3,download (74).jpg
ASOS Summer Pastel Dress Women,15999,Dresses,"XS,S,M,L",6,download (75).jpg
Zara Modern Blue Dress Women,16999,Dresses,"XS,S,M,L",7,download (77).jpg
H&M Classic Striped Dress Women,13999,Dresses,"XS,S,M,L",6,download (78).jpg
Mango Luxury Maxi Dress Women,19999,Dresses,"XS,S,M,L",5,download (89).jpg
Forever 21 Vintage Print Dress Women,10999,Dresses,"XS,S,M,L",8,DRESSES.jpg
TopShop Designer Waist Dress Women,20999,Dresses,"XS,S,M,L",4,SR Commuter Waist Dyed Striped Dress.jpg
Vogue Floral Mini Skirt Women,9999,Half Skirts,"XS,S,M,L",7,beh.jpeg
Balenciaga Pleated Gray Skirt Women,17999,Half Skirts,"XS,S,M,L",4,dgh.jpeg
Prada Lace Trim Skirt Women,18999,Half Skirts,"XS,S,M,L",3,download (10).jpeg
Chanel Pearl Button Skirt Women,19999,Half Skirts,"XS,S,M,L",4,download (11).jpeg
ASOS Denim Asymmetric Skirt Women,11999,Half Skirts,"XS,S,M,L",6,download (12).jpeg
Zara Tailored Black Skirt Women,12999,Half Skirts,"XS,S,M,L",5,download (13).jpeg
H&M Classic A-Line Skirt Women,8999,Half Skirts,"XS,S,M,L",8,download (14).jpeg
Mango Elegant Midi Skirt Women,14999,Half Skirts,"XS,S,M,L",6,download (4).jpeg
