name,price,category,sizes,stock,image_filename
Ermenegildo Zegna Linen Shirt,11999,formal shirt,"XS,S,M,L,XL,XXL",13,Beige.jpeg
Giorgio Armani Military Overshirt,8999,formal shirt,"XS,S,M,L,XL,XXL",6,download (71).jpeg
Prada Pinstripe Oxford,10999,formal shirt,"XS,S,M,L,XL,XXL",15,download (72).jpeg
Gucci Poplin Executive,6999,formal shirt,"XS,S,M,L,XL,XXL",5,download (73).jpeg
Louis Vuitton Silk Blend Camp Collar,5999,formal shirt,"XS,S,M,L,XL,XXL",17,download (75).jpeg
Burberry Shadow Plaid Flannel,10999,formal shirt,"XS,S,M,L,XL,XXL",11,download (79).jpeg
Ralph Lauren Purple Label Heritage Check,9999,formal shirt,"XS,S,M,L,XL,XXL",12,download (80).jpeg
Tom Ford Highland Tartan,8999,formal shirt,"XS,S,M,L,XL,XXL",12,Shirt-Men.jpeg
Hermès Classic Poplin,11999,formal shirt,"XS,S,M,L,XL,XXL",14,POLO RALPH LAUREN.jpg
Dior Homme Seersucker Stripe,5999,formal shirt,"XS,S,M,L,XL,XXL",4,download (12).jpg
Canali Structured Oxford,9999,formal shirt,"XS,S,M,L,XL,XXL",14,Men's S.jpg
